"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2022,1,"Ciutat Vella",1,"el Raval","Dones","21761"
2022,1,"Ciutat Vella",1,"el Raval","Homes","24759"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","8824"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","13924"
2022,1,"Ciutat Vella",3,"la Barceloneta","Dones","7222"
2022,1,"Ciutat Vella",3,"la Barceloneta","Homes","7120"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","11232"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","11186"
2022,2,"Eixample",5,"el Fort Pienc","Dones","17419"
2022,2,"Eixample",5,"el Fort Pienc","Homes","16026"
2022,2,"Eixample",6,"la Sagrada Família","Dones","27785"
2022,2,"Eixample",6,"la Sagrada Família","Homes","23617"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Dones","23433"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Homes","20723"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","22450"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","19915"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","30446"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","26868"
2022,2,"Eixample",10,"Sant Antoni","Dones","19988"
2022,2,"Eixample",10,"Sant Antoni","Homes","18187"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","19860"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","19283"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","746"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","771"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","15779"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","14649"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","5316"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","5043"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","8256"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","7603"
2022,3,"Sants-Montjuïc",16,"la Bordeta","Dones","10100"
2022,3,"Sants-Montjuïc",16,"la Bordeta","Homes","9127"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","12910"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","11298"
2022,3,"Sants-Montjuïc",18,"Sants","Dones","22374"
2022,3,"Sants-Montjuïc",18,"Sants","Homes","20655"
2022,4,"Les Corts",19,"les Corts","Dones","24488"
2022,4,"Les Corts",19,"les Corts","Homes","21172"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","12669"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","11015"
2022,4,"Les Corts",21,"Pedralbes","Dones","6282"
2022,4,"Les Corts",21,"Pedralbes","Homes","5448"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","2431"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","2374"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","13169"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","11463"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","8588"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","7520"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","13947"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","11745"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","25861"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","21320"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","16146"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","13637"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","8555"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","7527"
2022,6,"Gràcia",29,"el Coll","Dones","4073"
2022,6,"Gràcia",29,"el Coll","Homes","3538"
2022,6,"Gràcia",30,"la Salut","Dones","7148"
2022,6,"Gràcia",30,"la Salut","Homes","6189"
2022,6,"Gràcia",31,"la Vila de Gràcia","Dones","27036"
2022,6,"Gràcia",31,"la Vila de Gràcia","Homes","22816"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","18907"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","16126"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","13762"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","11829"
2022,7,"Horta-Guinardó",34,"Can Baró","Dones","4880"
2022,7,"Horta-Guinardó",34,"Can Baró","Homes","4391"
2022,7,"Horta-Guinardó",35,"el Guinardó","Dones","19747"
2022,7,"Horta-Guinardó",35,"el Guinardó","Homes","17247"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","4976"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","4551"
2022,7,"Horta-Guinardó",37,"el Carmel","Dones","16849"
2022,7,"Horta-Guinardó",37,"el Carmel","Homes","15270"
2022,7,"Horta-Guinardó",38,"la Teixonera","Dones","6224"
2022,7,"Horta-Guinardó",38,"la Teixonera","Homes","5694"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","3861"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","3401"
2022,7,"Horta-Guinardó",40,"Montbau","Dones","2740"
2022,7,"Horta-Guinardó",40,"Montbau","Homes","2274"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","3132"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","2737"
2022,7,"Horta-Guinardó",42,"la Clota","Dones","322"
2022,7,"Horta-Guinardó",42,"la Clota","Homes","347"
2022,7,"Horta-Guinardó",43,"Horta","Dones","14819"
2022,7,"Horta-Guinardó",43,"Horta","Homes","13056"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","13805"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","11862"
2022,8,"Nou Barris",45,"Porta","Dones","14471"
2022,8,"Nou Barris",45,"Porta","Homes","12926"
2022,8,"Nou Barris",46,"el Turó de la Peira","Dones","8584"
2022,8,"Nou Barris",46,"el Turó de la Peira","Homes","7441"
2022,8,"Nou Barris",47,"Can Peguera","Dones","1158"
2022,8,"Nou Barris",47,"Can Peguera","Homes","1029"
2022,8,"Nou Barris",48,"la Guineueta","Dones","8104"
2022,8,"Nou Barris",48,"la Guineueta","Homes","6952"
2022,8,"Nou Barris",49,"Canyelles","Dones","3579"
2022,8,"Nou Barris",49,"Canyelles","Homes","3208"
2022,8,"Nou Barris",50,"les Roquetes","Dones","8370"
2022,8,"Nou Barris",50,"les Roquetes","Homes","7786"
2022,8,"Nou Barris",51,"Verdun","Dones","6738"
2022,8,"Nou Barris",51,"Verdun","Homes","5820"
2022,8,"Nou Barris",52,"la Prosperitat","Dones","14014"
2022,8,"Nou Barris",52,"la Prosperitat","Homes","12332"
2022,8,"Nou Barris",53,"la Trinitat Nova","Dones","3869"
2022,8,"Nou Barris",53,"la Trinitat Nova","Homes","3552"
2022,8,"Nou Barris",54,"Torre Baró","Dones","1461"
2022,8,"Nou Barris",54,"Torre Baró","Homes","1447"
2022,8,"Nou Barris",55,"Ciutat Meridiana","Dones","5499"
2022,8,"Nou Barris",55,"Ciutat Meridiana","Homes","5309"
2022,8,"Nou Barris",56,"Vallbona","Dones","723"
2022,8,"Nou Barris",56,"Vallbona","Homes","697"
2022,9,"Sant Andreu",57,"la Trinitat Vella","Dones","5076"
2022,9,"Sant Andreu",57,"la Trinitat Vella","Homes","5282"
2022,9,"Sant Andreu",58,"Baró de Viver","Dones","1340"
2022,9,"Sant Andreu",58,"Baró de Viver","Homes","1263"
2022,9,"Sant Andreu",59,"el Bon Pastor","Dones","6782"
2022,9,"Sant Andreu",59,"el Bon Pastor","Homes","6771"
2022,9,"Sant Andreu",60,"Sant Andreu","Dones","30357"
2022,9,"Sant Andreu",60,"Sant Andreu","Homes","27248"
2022,9,"Sant Andreu",61,"la Sagrera","Dones","15628"
2022,9,"Sant Andreu",61,"la Sagrera","Homes","13813"
2022,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","7587"
2022,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","6732"
2022,9,"Sant Andreu",63,"Navas","Dones","11702"
2022,9,"Sant Andreu",63,"Navas","Homes","10245"
2022,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","20315"
2022,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","17892"
2022,10,"Sant Martí",65,"el Clot","Dones","13806"
2022,10,"Sant Martí",65,"el Clot","Homes","12574"
2022,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","8245"
2022,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","7716"
2022,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","4738"
2022,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","4638"
2022,10,"Sant Martí",68,"el Poblenou","Dones","17526"
2022,10,"Sant Martí",68,"el Poblenou","Homes","16577"
2022,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","6865"
2022,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","6526"
2022,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","12460"
2022,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","13889"
2022,10,"Sant Martí",71,"Provençals del Poblenou","Dones","11010"
2022,10,"Sant Martí",71,"Provençals del Poblenou","Homes","10082"
2022,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","13728"
2022,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","12124"
2022,10,"Sant Martí",73,"la Verneda i la Pau","Dones","15088"
2022,10,"Sant Martí",73,"la Verneda i la Pau","Homes","13666"
